text,Score
goodmorning i made a transfer of on atm on the app was d,neutral
with just n you too can subscribe to the fgn bonds hurry now and call or send an email to stockbroking,neutral
it s friday time to go make stories for monday cantstopwontstop withyoualltheway,neutral
i sent a dm please check it,neutral
we are calling on food fashion and lifestyle vendors to join us at stylebyzenith lifestyle fair to register simply,neutral
starbiola wow this is really great from they made their staff wear ankara to office to celebrate independence and also,positive 
it s clear that the pain of your customers are jokes to you guys common reversal of a customers hard,negative
i m a final year student of pharmacy yesterday morning by got a string of alerts from almost all the mone,neutral
seriously facing all these people is more or less suicide mission ooo,negative
oh mad mad it is a nibss product or a gtbank product,negative
una well done oo i sent messages to both you and like hrs ago no reply e de,negative
justiceforadetutu justicefortutu are been quiet about the murder of one of their akure staff miss adetutu,negative
i am calling your attention to a zenith bank account with account number and name ayodeji olaoluwa t,neutral
check out s tweet,neutral
i know of two banks that so useless st is and second is the most useless bank in n,negative
recharge was done from my bank account gtbank on th second recharge was done from,neutral
you gonna cry for this mark my word,negative
you guys have frozen my account disabled my ussd service for how long will your investigation go on this is robbery,negative
i was debited of airtime without receiving the card since yesterday via my app till now they haven t rever,negative
thanks for ruining summer for us again mets merchandise and ticket sales never have ca,negative
good morning what s the problem with your mobile app i m finding it difficult to make transfers please fix it thanks,negative
dear this dude is one of my followers if you give him a job i promise you i will reactivate my account,neutral
why directing me to a handle you know you can t access them via dm,neutral
you are all over the place get the simple things done first you can easily become the best bank not just the big,negative
worried about summer don t worry got you firstbank naira mastercard has an ehnaced spend lim,positive 
you dey show the game for any of your branches,neutral
with a will your family can look forward to a secure future call or email sitlagency com for mor,neutral
already did days ago please check,neutral
i had dispense errors for debit since december with my account i tried a,negative
i just performed another transaction just now that wasnt sucessful and was debited with the same reply as,negative
need my account information ,neutral
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controve,neutral
what is happening to my account i have been debited severally since yesterday wi,neutral
dmxchallenge how many branches can you recognise,neutral
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controve,neutral
spot our ad on any led boards take a picture tag us with the hashtag and you could win exciting prices,neutral
sec urges investors of defunct skye bank to claim their dividends via marketforces,neutral
help omashola create more timeless experiences in the bbnaija pepper dem house voting closes at wat so hurry and vote,neutral
to be fair hoarse is a bro through and through in real life he s a straight white consultant to places like exxon citiban,neutral
just imagine kinging in a place that s not even your country nor city whattt well with any of cards yo,neutral
good day kindly see to may account showing my account number is,neutral
w gdp amp announced an addt m to our initial m x americas commitment the trump admin wgdp amp private se,neutral
i have k followers if only k people donate naira each babatunde will be free of heart disease savebabatunde,neutral
do you know the network is processing over customer transactions daily in over local government area,neutral
omo make I sent aza,neutral
kindly check your dm,neutral
team in all,neutral
stanbic ibtc money market is anytime bank ac,neutral
i am the great baba of ijebu land call baba on this simple and don t keep your problems to,neutral
hello fams dan allah and follow plx location kano state dan allah,neutral
okay since this is trending here s myhoarsewispererstory hoarse wisperer is a marketing guy who s worked with exxon,neutral
please is there a way i can talk to the contact centre without calling i m currentl,neutral
our ekiti of now amp ekitivaluesrestoration csr corporatesocialresponsibility done in a transparent approach,neutral
i ve kept saying this but you ll want to believe what you want it s delayed debits since the first time i funded,negative
please what has been going on with you guys lately honestly this whole constant bad network thing is actually getti,negative
are you open on saturdays in lagos why does transfers to credits cards after pm become useable on,neutral
seriously you guys are insensitive of my plight i should kindly follow you guys on twitt,negative
i can t login mobile app it s says i m not registered and it won t let me register i was using it,neutral
please i sent u a already,neutral
here s an opportunity every business owner can t access with ease somewhere other than in fcmbquickloans got you,neutral
pls check your dm you have promised me that reversal will be done on or b th may imagine since friday th,negative
how i m rushing to leave the bed and head to the bank when i heard is rewarding customers for reactivating,positive 
done complaining go work on your system the inefficiency is too much you re officially the worst bank of the year,negative
happy sunday everyone,neutral
because the giver s credited and the receiver debited,neutral
friends please join ladylake music and the envision indie coalition as we donate time and talent supporting nokid,neutral
days to go to one of the best african fashion experiences in the continent the fashion weekend day,neutral
dear why do u take charges at midnight stamp duty charges too mid night take the money day time ban,negative
how can l advance when all my funds in the bank has been wired away my rating for is zero for pr,neutral
the answer is actually zero what evil don t last solved was balderdash,neutral
all these one na grammar update your system and resolve issues faster,negative
every single year goes all out to beautify eko hotel roundabout and the whole of ajose adeogun street because,neutral
we won t take their fraud and ineptitude lightly anymore next week,negative
when zenith bank s minimum account balance was and gtbank went for account opening balance their target au,neutral
lol zenith is lowkey the boss o agba awo ni bank yen mehn,positive 
aside from language batman is too serious for odunlade but he s the perfect match for joker tho,neutral
at we believe we can build a world filled with kindness all it takes is for each of us to be a li,positive 
you said maintenance has been completed but yet i keep getting this error message,negative
holy hanging epstein private banker found suicided by hanging just before thanksgiving millions of dollars in loans,negative
and diamond bank were not ready for the operational demands of that merger acquisition my banking e,negative
is it the that is charging ussd or who,neutral
